seed,split,budget_tag,policy,acc,mean_tokens,mean_steps
0,dev,B1,fixed,0.1225,96.0,1.0
0,test,B1,fixed,0.13,96.0,1.0
0,dev,B1,conf,0.1225,96.0,1.0
0,test,B1,conf,0.13,96.0,1.0
0,dev,B1,random,0.1225,96.0,1.0
0,test,B1,random,0.13,96.0,1.0
0,dev,B1,stability,0.1225,96.0,1.0
0,test,B1,stability,0.13,96.0,1.0
0,dev,B1,oracle,0.6475,567.36,3.13
0,test,B1,oracle,0.66,513.92,2.93
0,dev,B2,fixed,0.2175,256.0,2.0
0,test,B2,fixed,0.35,256.0,2.0
0,dev,B2,conf,0.21397727272727274,256.0,1.6818181818181819
0,test,B2,conf,0.2140909090909091,256.0,1.6818181818181819
0,dev,B2,random,0.21397727272727315,256.0,1.6818181818181717
0,test,B2,random,0.214090909090909,256.0,1.6818181818181792
0,dev,B2,stability,0.24437499999999995,255.99999999999997,1.8333333333333335
0,test,B2,stability,0.2716666666666666,255.99999999999997,1.8333333333333335
0,dev,B2,oracle,0.6475,567.36,3.13
0,test,B2,oracle,0.66,513.92,2.93
0,dev,B3,fixed,0.415,480.0,3.0
0,test,B3,fixed,0.47,480.0,3.0
0,dev,B3,conf,0.34204545454545454,479.99999999999994,2.6363636363636362
0,test,B3,conf,0.3318181818181818,479.99999999999994,2.6363636363636362
0,dev,B3,random,0.34204545454545476,480.0,2.636363636363634
0,test,B3,random,0.33181818181818196,480.0,2.6363636363636456
0,dev,B3,stability,0.3881996811104858,480.0,2.839054586381542
0,test,B3,stability,0.45504595760645283,472.6467829675483,2.814106171450009
0,dev,B3,oracle,0.6475,567.36,3.13
0,test,B3,oracle,0.66,513.92,2.93
0,dev,B4,fixed,0.525,800.0,4.0
0,test,B4,fixed,0.5,800.0,4.0
0,dev,B4,conf,0.525,800.0,4.0
0,test,B4,conf,0.5,800.0,4.0
0,dev,B4,random,0.525,800.0,4.0
0,test,B4,random,0.5,800.0,4.0
0,dev,B4,stability,0.525,800.0,4.0
0,test,B4,stability,0.5,800.0,4.0
0,dev,B4,oracle,0.6475,567.36,3.13
0,test,B4,oracle,0.66,513.92,2.93
