split,policy,budget_tag,params,acc,mean_steps,p95_steps,mean_tokens,p95_tokens,flip_rate,regress_at_stop_rate
dev,fixed,B1.0,k=1;thr=0.8;m=2;min_step=1,0.6383177570093458,1.0,1.0,96.0,96.0,0.0,0.0
test,fixed,B1.0,k=1;thr=0.8;m=2;min_step=1,0.7028112449799196,1.0,1.0,96.0,96.0,0.0,0.0
dev,conf,B1.0,k=4;thr=0.5;m=2;min_step=1,0.6373831775700934,1.0102803738317756,1.0,97.64485981308412,96.0,0.002803738317757,0.0009345794392523
test,conf,B1.0,k=4;thr=0.5;m=2;min_step=1,0.7028112449799196,1.0080321285140563,1.0,97.285140562249,96.0,0.0,0.0
dev,random,B1.0,k=4;thr=0.8;m=2;min_step=1,0.6747663551401869,2.4411214953271028,4.0,394.7663551401869,800.0,0.2878504672897196,0.0757009345794392
test,random,B1.0,k=4;thr=0.8;m=2;min_step=1,0.7269076305220884,2.4819277108433737,4.0,404.17670682730926,800.0,0.253012048192771,0.0602409638554216
dev,fixed,B2.0,k=2;thr=0.8;m=2;min_step=1,0.705607476635514,2.0,2.0,256.0,256.0,0.3485981308411215,0.0728971962616822
test,fixed,B2.0,k=2;thr=0.8;m=2;min_step=1,0.7269076305220884,2.0,2.0,256.0,256.0,0.3092369477911647,0.072289156626506
dev,conf,B2.0,k=4;thr=0.8039240506329114;m=2;min_step=1,0.7177570093457943,2.527102803738318,3.0,376.22429906542055,480.0,0.3785046728971962,0.0775700934579439
test,conf,B2.0,k=4;thr=0.8039240506329114;m=2;min_step=1,0.7630522088353414,2.4939759036144578,3.0,370.1204819277109,480.0,0.3373493975903614,0.0763052208835341
dev,random,B2.0,k=4;thr=0.8;m=2;min_step=1,0.7009345794392523,2.500934579439252,3.0,370.1831775700935,480.0,0.3794392523364486,0.0878504672897196
test,random,B2.0,k=4;thr=0.8;m=2;min_step=1,0.751004016064257,2.5060240963855422,3.0,372.0481927710844,480.0,0.3253012048192771,0.0682730923694779
dev,fixed,B3.0,k=3;thr=0.8;m=2;min_step=1,0.694392523364486,3.0,3.0,480.0,480.0,0.4009345794392523,0.105607476635514
test,fixed,B3.0,k=3;thr=0.8;m=2;min_step=1,0.7751004016064257,3.0,3.0,480.0,480.0,0.3453815261044177,0.072289156626506
dev,conf,B3.0,k=4;thr=0.8535443037974684;m=2;min_step=1,0.705607476635514,2.646728971962617,3.0,403.11028037383176,480.0,0.3887850467289719,0.0906542056074766
test,conf,B3.0,k=4;thr=0.8535443037974684;m=2;min_step=1,0.7590361445783133,2.610441767068273,3.0,396.20883534136544,480.0,0.3413654618473896,0.0803212851405622
dev,random,B3.0,k=4;thr=0.8;m=2;min_step=1,0.6990654205607477,2.6252336448598133,3.0,398.385046728972,480.0,0.3831775700934579,0.0906542056074766
test,random,B3.0,k=4;thr=0.8;m=2;min_step=1,0.7550200803212851,2.6265060240963853,3.0,399.421686746988,480.0,0.3333333333333333,0.0763052208835341
dev,fixed,B4.0,k=4;thr=0.8;m=2;min_step=1,0.6766355140186916,4.0,4.0,800.0,800.0,0.4355140186915888,0.1355140186915887
test,fixed,B4.0,k=4;thr=0.8;m=2;min_step=1,0.7309236947791165,4.0,4.0,800.0,800.0,0.3775100401606425,0.1244979919678714
dev,conf,B4.0,k=4;thr=0.9527848101265823;m=2;min_step=1,0.6766355140186916,4.0,4.0,800.0,800.0,0.4355140186915888,0.1355140186915887
test,conf,B4.0,k=4;thr=0.9527848101265823;m=2;min_step=1,0.7309236947791165,4.0,4.0,800.0,800.0,0.3775100401606425,0.1244979919678714
dev,random,B4.0,k=4;thr=0.8;m=2;min_step=1,0.6766355140186916,4.0,4.0,800.0,800.0,0.4355140186915888,0.1355140186915887
test,random,B4.0,k=4;thr=0.8;m=2;min_step=1,0.7309236947791165,4.0,4.0,800.0,800.0,0.3775100401606425,0.1244979919678714
test,stability,B1.0,k=4;thr=0.8;m=2;min_step=2,0.7791164658634538,2.42570281124498,4.0,362.5381526104418,800.0,0.3092369477911647,0.0602409638554216
test,stability,B2.0,k=4;thr=0.8;m=2;min_step=2,0.7791164658634538,2.42570281124498,4.0,362.5381526104418,800.0,0.3092369477911647,0.0602409638554216
test,stability,B3.0,k=4;thr=0.8;m=3;min_step=2,0.751004016064257,3.345381526104417,4.0,590.5220883534137,800.0,0.3453815261044177,0.1004016064257028
test,stability,B4.0,k=4;thr=0.8;m=4;min_step=2,0.7309236947791165,4.0,4.0,800.0,800.0,0.3775100401606425,0.1244979919678714
