seed,split,budget_tag,policy,acc,mean_tokens,mean_steps
1,dev,B1,fixed,0.0,320.0,1.0
1,test,B1,fixed,0.0,320.0,1.0
1,dev,B1,conf,0.0,320.0,1.0
1,test,B1,conf,0.0,320.0,1.0
1,dev,B1,random,0.0,320.0,1.0
1,test,B1,random,0.0,320.0,1.0
1,dev,B1,stability,0.0,320.0,1.0
1,test,B1,stability,0.0,320.0,1.0
1,dev,B1,oracle,0.0,320.0,1.0
1,test,B1,oracle,0.0,320.0,1.0
1,dev,B2,fixed,0.0,320.0,1.0
1,test,B2,fixed,0.0,320.0,1.0
1,dev,B2,conf,0.0,320.0,1.0
1,test,B2,conf,0.0,320.0,1.0
1,dev,B2,random,0.0,320.0,1.0
1,test,B2,random,0.0,320.0,1.0
1,dev,B2,stability,0.0,320.0,1.0
1,test,B2,stability,0.0,320.0,1.0
1,dev,B2,oracle,0.0,320.0,1.0
1,test,B2,oracle,0.0,320.0,1.0
1,dev,B3,fixed,0.0,320.0,1.0
1,test,B3,fixed,0.0,320.0,1.0
1,dev,B3,conf,0.0,320.0,1.0
1,test,B3,conf,0.0,320.0,1.0
1,dev,B3,random,0.0,320.0,1.0
1,test,B3,random,0.0,320.0,1.0
1,dev,B3,stability,0.0,320.0,1.0
1,test,B3,stability,0.0,320.0,1.0
1,dev,B3,oracle,0.0,320.0,1.0
1,test,B3,oracle,0.0,320.0,1.0
1,dev,B4,fixed,0.0,320.0,1.0
1,test,B4,fixed,0.0,320.0,1.0
1,dev,B4,conf,0.0,320.0,1.0
1,test,B4,conf,0.0,320.0,1.0
1,dev,B4,random,0.0,320.0,1.0
1,test,B4,random,0.0,320.0,1.0
1,dev,B4,stability,0.0,320.0,1.0
1,test,B4,stability,0.0,320.0,1.0
1,dev,B4,oracle,0.0,320.0,1.0
1,test,B4,oracle,0.0,320.0,1.0
